GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Authorizatiion-Microservice,com.cts.authorization.service,JwtUserDetailsService,53,0,2,0,9,0,4,0,3,0
Authorizatiion-Microservice,com.cts.authorization.service,CustomIdGenerator,42,0,0,0,6,0,3,0,3,0
Authorizatiion-Microservice,com.cts.authorization.exception,GlobalExceptionHandler,58,0,0,0,11,0,5,0,5,0
Authorizatiion-Microservice,com.cts.authorization.exception,ExceptionDetails,23,0,0,0,6,0,5,0,5,0
Authorizatiion-Microservice,com.cts.authorization.exception,AuthorizationException,4,0,0,0,2,0,1,0,1,0
Authorizatiion-Microservice,com.cts.authorization.model,MyUserDetails,33,0,0,0,10,0,8,0,8,0
Authorizatiion-Microservice,com.cts.authorization.model,JwtRequest,26,0,0,0,7,0,6,0,6,0
Authorizatiion-Microservice,com.cts.authorization.model,JwtResponse,9,0,0,0,4,0,2,0,2,0
Authorizatiion-Microservice,com.cts.authorization.model,User.UserBuilder,49,0,0,0,1,0,6,0,6,0
Authorizatiion-Microservice,com.cts.authorization.model,User,184,0,30,0,4,0,28,0,13,0
Authorizatiion-Microservice,com.cts.authorization.config,SwaggerConfig,14,0,0,0,3,0,2,0,2,0
Authorizatiion-Microservice,com.cts.authorization.config,JwtTokenUtil,96,0,4,0,15,0,11,0,9,0
Authorizatiion-Microservice,com.cts.authorization.config,WebSecurityConfig,66,0,0,0,12,0,5,0,5,0
Authorizatiion-Microservice,com.cts.authorization.config,JwtAuthenticationEntryPoint,8,0,0,0,3,0,2,0,2,0
Authorizatiion-Microservice,com.cts.authorization.config,JwtRequestFilter,85,0,10,0,24,0,8,0,3,0
Authorizatiion-Microservice,com.cts.authorization,AuthorizationMicroserviceApplication,8,0,0,0,3,0,2,0,2,0
Authorizatiion-Microservice,com.cts.authorization.controller,JwtAuthenticationController,117,0,6,0,27,0,8,0,5,0
